;Level;2
;Procedure;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;
;face;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;
;slidestate;Go;Go;Go;Go;Go;Go;Go;NoGo;NoGo;Go;Go;Go;NoGo;NoGo;NoGo;Go;Go;Go;Go;NoGo;Go;NoGo;Go;Go;Go;Go;Go;NoGo;Go;NoGo;NoGo;NoGo;NoGo;Go;Go;Go;
;probe;_;_;I;_;_;I;_;I;_;I;I;_;_;I;I;_;I;_;I;_;I;I;_;I;I;_;_;I;I;_;_;I;_;I;_;I;
;proberight;I;I;_;I;I;_;I;_;I;_;_;I;I;_;_;I;_;I;_;I;_;_;I;_;_;I;I;_;_;I;I;_;I;_;I;_;
;;Procedure;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;
;;face;34M_SP_O.BMP;10F_SP_O.BMP;40M_SP_O.BMP;45M_SP_O.BMP;03F_SP_O.BMP;42M_SP_O.BMP;18F_SP_O.BMP;11F_SP_O.BMP;10F_SP_O.BMP;11F_SP_O.BMP;42M_SP_O.BMP;34M_SP_O.BMP;03F_SP_O.BMP;40M_SP_O.BMP;34M_SP_O.BMP;45M_SP_O.BMP;18F_SP_O.BMP;03F_SP_O.BMP;45M_SP_O.BMP;11F_SP_O.BMP;42M_SP_O.BMP;10F_SP_O.BMP;40M_SP_O.BMP;18F_SP_O.BMP;
;;slidestate;Go;Go;NoGo;Go;Go;Go;Go;Go;Go;Go;NoGo;NoGo;NoGo;Go;Go;Go;NoGo;Go;NoGo;NoGo;Go;NoGo;Go;Go;
;;probe;_;I;I;I;_;_;I;_;I;_;_;_;_;I;_;I;I;_;I;_;_;I;I;I;
;;proberight;I;_;_;_;I;I;_;I;_;I;I;I;I;_;I;_;_;I;_;I;I;_;_;_;
;;Correct;l;a;{SPACE};a;l;l;a;l;a;l;{SPACE};{SPACE};{SPACE};a;l;a;{SPACE};l;{SPACE};{SPACE};l;{SPACE};a;a;
;;SurpriseList;21;18;6;24;17;15;12;11;10;19;7;5;1;14;13;16;4;9;8;3;23;2;22;20;
;;Running;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;
;;Stimulus.OnsetDelay;30;30;30;30;30;30;30;30;14;13;13;13;13;13;14;13;12;13;13;13;14;14;13;13;
;;Stimulus.OnsetTime;319178;321928;324228;326245;329028;332328;335611;338145;341295;344078;347361;350644;352794;356061;358578;360761;363544;365494;368444;371777;374661;376711;378727;381344;
;;Stimulus.DurationError;1;1;1;0;1;1;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;
